5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,9,9,9,1,4,6,6,9,8,2,9,9,9,3,6,5,5,8,5,5,8,9,2,5,3,5,9,9,5,7,3,7.210526316,7,4,3
9,9,9,9,1,4,5,4,9,8,1,9,9,9,3,8,5,4,9,4,4,8,9,1,4,2,6,9,9,5,5,7.210526316,9,1,3,2
7,7,9,9,1,7,5,9,9,5,9,9,3,9,7,8,8,7,9,7,5,8,9,8,7,8,5,9,9,8,9,9,9,9,7,1
6,9,9,9,1,8,9,9,9,4,9,9,8,9,8,7,8,9,9,8,6,9,9,9,8,9,6,9,9,7,9,9,9,8,9,1
8,9,9,9,1,6,7,4,9,6,4,9,8,9,5,6,6,7,9,5,5,9,9,3,5,3,5,9,9,6,6,1,9,5,4,5
5,9,5,9,1,6,8,9,7,3,9,9,9,2,6,1,8,7,3,6,6,5,8,8,7,8,6,1,6,6,9,5,3,7,7,5
6,9,8,6,1,5,7,9,8,2,9,9,9,9,7,7,8,9,8,7,5,9,9,9,8,9,7,9,9,7,9,9,9,7,7,6
8,9,9,8,1,6,5,9,9,2,9,9,9,9,8,8,7,9,8,8,4,8,9,9,9,9,7,9,9,8,9,9,9,7,8,5
9,9,9,9,1,6,5,9,9,2,9,9,9,9,8,7,9,9,8,8,3,9,9,9,9,9,5,9,9,6,9,9,9,8,9,5
6,9,9,9,5,6,9,9,9,3,9,9,9,9,8,6,7,9,7,8,3,9,9,8,9,9,7,9,9,6,9,9,9,7,9,5
8,9,9,9,5,5,8,9,9,5,8,9,9,9,8,7,8,9,8,6,5,9,9,9,9,8,7,9,1,7,8,9,4,6,9,4
8,9,9,9,1,5,9,6,9,5,5,9,4,9,6,7,7,6,8,5,5,8,9,3,7,4,5,9,1,6,5,1,3,4,5,5
8,9,9,9,1,7,9,9,8,4,9,9,8,9,8,7,8,8,8,6,5,7,9,8,9,7,6,9,1,7,9,9,3,9,7,2
8,9,5,5,1,7,7,9,7,4,8,7,8,1,8,1,8,9,1,7,6,4,7,9,9,8,6,1,7,8,9,9,8,8,7,2
4,9,4,5,1,7,7,9,6,3,8,5,9,1,9,1,9,9,1,7,6,4,6,9,9,9,6,1,9,8,9,9,8,7,8,2
9,8,6,9,5,8,7,8,8,3,8,7,2,9,9,7,7,9,5,7,5,6,8,8,9,8,6,9,9,7,9,9,8,8,8,3
8,6,3,5,5,8,1,9,6,4,8,5,1,1,9,1,7,9,1,7,6,4,5,9,9,8,7,1,1,7,9,9,4,8,8,3
5,8,6,9,5,8,4,9,8,4,8,6,9,9,9,7,8,9,7,7,6,7,6,8,9,8,6,9,9,7,9,9,8,7,9,3
7,9,4,5,1,6,6,5,6,6,4,4,8,1,6,1,8,7,1,5,5,4,5,2,8,6,7,1,9,6,6,1,8,4,5,5
7,7,6,9,5,7,6,9,9,4,9,6,2,9,8,7,8,9,5,6.473684211,6,6,6,9,9,8,6,9,9,7,9,9,8,8,6,4